Best Params,RMSE Test,MAE Test,R2 Test,RMSE Train,R2 Train,Reduction Method,Model
"{'max_depth': 20, 'n_estimators': 200}",0.13493163333281652,0.1046823110334139,0.6702081989466577,0.05488450988579656,0.9520273617229705,PCA,Random Forest
"{'max_depth': 20, 'n_estimators': 200}",0.12731302266049035,0.0991303807989588,0.7063987109379959,0.001021328836599974,0.9999833878742141,PCA,Extra Trees
"{'max_depth': 10, 'max_iter': 200}",0.12207060113829869,0.09468744445210119,0.7300803724197436,0.006449099734449552,0.9993376428798089,PCA,HistGBM
"{'C': 1, 'gamma': 'scale'}",0.12683460004554675,0.09674795130725504,0.7086011811919748,0.07972777497364132,0.8987690504007216,PCA,SVR
{'alpha': 10},0.12987489528499382,0.10020186565786968,0.6944637666765978,0.1190164984423411,0.7744159651281829,PCA,Ridge
{'alpha': 0.01},0.1343834340786348,0.10173066424609767,0.6728825067495203,0.1338839094791294,0.7145363636940405,PCA,Lasso
"{'depth': 4, 'iterations': 500, 'learning_rate': 0.05}",0.1197725987347199,0.0917516480286921,0.7401472933740827,0.06134296751692249,0.9400728553052083,PCA,CatBoost
"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 200}",0.12692843980751267,0.09768545719447749,0.7081698334140752,0.08007687931433621,0.8978805887324754,PCA,XGBoost
"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 200}",0.12536968419868927,0.09797733188924879,0.715293512553162,0.0403767487086732,0.9740368900478606,PCA,LightGBM
"{'max_depth': 20, 'n_estimators': 200}",0.10548205493922037,0.08161044170031492,0.7984561904630105,0.04544128101724406,0.9671152038193411,SVD,Random Forest
"{'max_depth': 20, 'n_estimators': 200}",0.10002096267535306,0.07818996860906349,0.8187849096556711,0.0008348045993514851,0.9999889015152676,SVD,Extra Trees
"{'max_depth': 10, 'max_iter': 200}",0.1013381099005069,0.07541120547664713,0.8139807456720616,0.013662055340162576,0.9970274709814037,SVD,HistGBM
"{'C': 1, 'gamma': 'auto'}",0.09165542480279028,0.0682843410663426,0.8478301373128688,0.07848576108226012,0.9018984722684656,SVD,SVR
{'alpha': 1},0.1077937613454435,0.08240228131054143,0.7895254680884157,0.11490115260452216,0.7897467134605016,SVD,Ridge
{'alpha': 0.01},0.1267251230386508,0.0994171437283416,0.709104004595723,0.13737229345326696,0.6994668935130153,SVD,Lasso
"{'depth': 6, 'iterations': 500, 'learning_rate': 0.05}",0.09538087728907654,0.07116632016490239,0.8352084552619723,0.03944794779541904,0.9752176291134655,SVD,CatBoost
"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 200}",0.1010923640092852,0.07869966466925594,0.8148818487158214,0.07510523671625187,0.9101672983026681,SVD,XGBoost
"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 200}",0.10123969699979338,0.07712900768130933,0.8143418695433624,0.0496692461248185,0.960711164261573,SVD,LightGBM
"{'max_depth': 10, 'n_estimators': 200}",0.1286886043852374,0.10198047270771023,0.7000198751461413,0.06805475420691436,0.9262416891657959,UMAP,Random Forest
"{'max_depth': 10, 'n_estimators': 200}",0.12613170236500548,0.09880879565365706,0.7118220058501725,0.06008026303922187,0.9425145846725281,UMAP,Extra Trees
"{'max_depth': 10, 'max_iter': 100}",0.14010725138357252,0.11047879524509478,0.6444231110223475,0.07157900263812707,0.918404669066027,UMAP,HistGBM
"{'C': 10, 'gamma': 'auto'}",0.12546342189690535,0.0985534691253016,0.714867608826117,0.13073752601412278,0.7277959719920943,UMAP,SVR
{'alpha': 0.1},0.13963314001987479,0.10929850941556887,0.6468255249805744,0.1496718580515487,0.6432415052625502,UMAP,Ridge
{'alpha': 0.01},0.1556868045628272,0.12102137629307767,0.5609480510076126,0.17197905809788447,0.5289737022740125,UMAP,Lasso
"{'depth': 6, 'iterations': 500, 'learning_rate': 0.05}",0.13164284409601268,0.1024678567848438,0.6860887990048061,0.08228142253889376,0.8921804274832735,UMAP,CatBoost
"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 100}",0.1348868281218355,0.10604232783397553,0.6704271829987605,0.08578053699584867,0.8828151296302172,UMAP,XGBoost
"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 100}",0.1328348274922054,0.1046026044016121,0.6803783334241158,0.10181260600091954,0.8349189850725867,UMAP,LightGBM
